,Y,X,Beta,p-value
34290,6988 JT,6367 JT,0.0021384690997087092,0.9488382247203349
34291,6988 JT,6471 JT,0.04085376684965373,0.12687503909648107
34292,6988 JT,6472 JT,0.03026986044656661,0.20140457210031948
34293,6988 JT,6473 JT,0.015146661040621174,0.5595067942292449
34294,6988 JT,6479 JT,0.01955482506138034,0.43800580675456413
34295,6988 JT,6501 JT,0.009591689676291846,0.7729347702782537
34296,6988 JT,6502 JT,0.031937669363749845,0.17105545214939888
34297,6988 JT,6503 JT,0.04219013049939227,0.18674094387153647
34298,6988 JT,6504 JT,0.010095647407364135,0.7506688573241638
34299,6988 JT,6506 JT,0.030868794064629692,0.3041035488521501
34300,6988 JT,6508 JT,0.00977255269442901,0.7476099734127887
34301,6988 JT,6674 JT,0.001408317209352033,0.9641043921223059
34302,6988 JT,6701 JT,-0.01631592415631254,0.5975290488756946
34303,6988 JT,6702 JT,0.010957658545403665,0.7089796605252814
34304,6988 JT,6703 JT,0.04305243768404996,0.1098634980441552
34305,6988 JT,6724 JT,-0.10545694180558368,0.6615912487111026
34306,6988 JT,6752 JT,0.008731707034823575,0.7700094150153874
34307,6988 JT,6753 JT,0.048987807072854675,0.027260187713648684
34308,6988 JT,6758 JT,0.036584827609302616,0.2019681726925152
34309,6988 JT,6762 JT,0.03394459562726801,0.24873974413994063
34310,6988 JT,6767 JT,0.008767211273533639,0.7126069251370062
34311,6988 JT,6770 JT,0.0379224705286392,0.10317731602024016
34312,6988 JT,6773 JT,0.01634845461837143,0.4775809250816956
34313,6988 JT,6841 JT,-0.027977208243807554,0.35234291502087145
34314,6988 JT,6857 JT,-0.009347231083866061,0.7444175085664178
34315,6988 JT,6902 JT,0.031200597449243975,0.3682386124059007
34316,6988 JT,6952 JT,0.04454673872406394,0.12129124804873705
34317,6988 JT,6954 JT,0.04603073719294868,0.16730183097241763
34318,6988 JT,6971 JT,0.018554740448048664,0.5992267964366331
34319,6988 JT,6976 JT,0.019756391070030115,0.40323096218123566
34320,6988 JT,6988 JT,-0.06251207159927714,0.043493985134505614
34321,6988 JT,7003 JT,0.013694428412960497,0.63608641598042
34322,6988 JT,7004 JT,0.01809920603124311,0.5673582631613174
34323,6988 JT,7011 JT,0.021042367276868996,0.5189867131501846
34324,6988 JT,7012 JT,0.04350905316028276,0.14147597190781994
34325,6988 JT,7013 JT,0.040588450201145584,0.1202173141678103
34326,6988 JT,7186 JT,0.009565204132062508,0.8332967156690312
34327,6988 JT,7201 JT,0.02018171260213702,0.5870547881295822
34328,6988 JT,7202 JT,0.03698990706085709,0.21953894425860698
34329,6988 JT,7203 JT,0.03348699637736092,0.3966329719464293
34330,6988 JT,7205 JT,0.035579392953444346,0.2124506813651672
34331,6988 JT,7211 JT,0.012523979153740913,0.5893818276284943
34332,6988 JT,7261 JT,0.017853728685744686,0.49241443742276125
34333,6988 JT,7267 JT,0.03805054348177486,0.30957947177973105
34334,6988 JT,7269 JT,0.05479294581235259,0.08136943426102161
34335,6988 JT,7270 JT,0.02849393170291007,0.33188674714973065
34336,6988 JT,7272 JT,-0.054759866125034126,0.4044921409467964
34337,6988 JT,7731 JT,0.031485628299771036,0.36682093943538463
34338,6988 JT,7733 JT,0.013225143691588493,0.6613958317826057
34339,6988 JT,7735 JT,0.01883998484948322,0.4755245766123968
34340,6988 JT,7751 JT,0.06840942040078071,0.16885612921121726
34341,6988 JT,7752 JT,-0.01432734499817104,0.6815425954517764
34342,6988 JT,7762 JT,-0.0002664341776779857,0.9928285506036765
34343,6988 JT,7911 JT,-0.03417152193851581,0.42822697999388715
34344,6988 JT,7912 JT,-0.022645393176529333,0.5755508758010863
34345,6988 JT,7951 JT,0.008138927764061481,0.7838132113604503
34346,6988 JT,8001 JT,0.030690297784217974,0.427068300275653
34347,6988 JT,8002 JT,0.029581583321096134,0.4638533269331174
34348,6988 JT,8015 JT,-0.00048109378172511485,0.9885474363667113
34349,6988 JT,8028 JT,0.01300061986376601,0.863710950123646
34350,6988 JT,8031 JT,0.013085294055586973,0.7629913048968866
34351,6988 JT,8035 JT,0.010182436113194575,0.7363437066196865
34352,6988 JT,8053 JT,0.007975304803043391,0.8402793475295914
34353,6988 JT,8058 JT,0.044167185010930476,0.2579522690291815
34354,6988 JT,8233 JT,0.014813178451318224,0.6759821907492505
34355,6988 JT,8252 JT,-0.033939362734890496,0.24484638927674293
34356,6988 JT,8253 JT,0.02926902095848024,0.3304746001507225
34357,6988 JT,8267 JT,0.03649258199771256,0.3633335127366125
34358,6988 JT,8270 JT,0.019937048447388316,0.6432747444207316
34359,6988 JT,8303 JT,0.03771352337308852,0.16450820763626758
34360,6988 JT,8304 JT,0.03293114003109888,0.463622147028554
34361,6988 JT,8306 JT,0.04164306858727761,0.19170747296133425
34362,6988 JT,8308 JT,0.026281079604832634,0.44336772467843044
34363,6988 JT,8309 JT,0.038318770219386775,0.18970847262567236
34364,6988 JT,8316 JT,0.046878764016459414,0.16246403615385072
34365,6988 JT,8331 JT,0.03144881113358784,0.3428636856208709
34366,6988 JT,8332 JT,0.01951096484874338,0.6602891156755654
34367,6988 JT,8354 JT,0.01099959805323151,0.7208425001024426
34368,6988 JT,8355 JT,0.017918035869557376,0.5899078199828782
34369,6988 JT,8411 JT,0.019507081148703944,0.6099455549532736
34370,6988 JT,8601 JT,0.03663591331326648,0.24601587901033659
34371,6988 JT,8604 JT,0.011781609121165833,0.6932720835401904
34372,6988 JT,8628 JT,0.014392976676029774,0.6715685266149565
34373,6988 JT,8630 JT,0.031033639531019144,0.3098704604978355
34374,6988 JT,8725 JT,0.040105992997906285,0.1764722227712393
34375,6988 JT,8729 JT,0.021303620880810836,0.5161278981770769
34376,6988 JT,8750 JT,0.013149318891814145,0.6438435077806144
34377,6988 JT,8766 JT,0.014856879078394957,0.6509726002866164
34378,6988 JT,8795 JT,0.032059496568780176,0.25796139351916875
34379,6988 JT,8801 JT,-0.002722439485991005,0.9298713432189987
34380,6988 JT,8802 JT,0.01467166286635202,0.6605948368969612
34381,6988 JT,8803 JT,-0.01575962379522246,0.6799116702753496
34382,6988 JT,8804 JT,0.02168694389222427,0.407671009013685
34383,6988 JT,8815 JT,-0.018236648533130846,0.7278790763711882
34384,6988 JT,8830 JT,0.0018997672405762227,0.9483138077097948
34385,6988 JT,9001 JT,0.016207788722349455,0.7389450937436727
34386,6988 JT,9005 JT,-0.022405105663872757,0.5738348352560556
34387,6988 JT,9007 JT,0.00399193473615929,0.9225253974432754
34388,6988 JT,9008 JT,-0.010584927674141351,0.8037614501816847
34389,6988 JT,9009 JT,0.0071059053930903095,0.845225900602781
34390,6988 JT,9020 JT,0.008625828508247356,0.8377407845394595
34391,6988 JT,9021 JT,0.0034746355921776067,0.9333251610096044
34392,6988 JT,9022 JT,0.007948474477050263,0.832642192018279
34393,6988 JT,9062 JT,0.025423622887196868,0.4872877701914655
34394,6988 JT,9064 JT,0.02655290629012398,0.45359269793698764
34395,6988 JT,9101 JT,0.03237144193368801,0.3181319488746468
34396,6988 JT,9104 JT,-0.0036560654506207413,0.9014739578015329
34397,6988 JT,9107 JT,0.0341987740414646,0.26752234561069643
34398,6988 JT,9202 JT,0.0015002993332391297,0.9735489390888403
34399,6988 JT,9301 JT,0.008400627428428283,0.7825303588724231
34400,6988 JT,9412 JT,-0.017706723780603277,0.6213094606202182
34401,6988 JT,9432 JT,0.006531604035702491,0.8717947912277904
